# z da db
# IGM absorption factors, as in EAZY
1.000e-03 1.566e-03 1.135e-02
1.020e-03 1.587e-03 1.137e-02
1.041e-03 1.608e-03 1.139e-02
1.062e-03 1.629e-03 1.142e-02
1.083e-03 1.650e-03 1.144e-02
1.105e-03 1.672e-03 1.146e-02
1.127e-03 1.695e-03 1.148e-02
1.150e-03 1.718e-03 1.151e-02
1.174e-03 1.741e-03 1.153e-02
1.197e-03 1.765e-03 1.156e-02
1.221e-03 1.789e-03 1.158e-02
1.246e-03 1.814e-03 1.161e-02
1.271e-03 1.839e-03 1.163e-02
1.297e-03 1.865e-03 1.166e-02
1.323e-03 1.891e-03 1.169e-02
1.350e-03 1.918e-03 1.171e-02
1.377e-03 1.946e-03 1.174e-02
1.405e-03 1.974e-03 1.177e-02
1.433e-03 2.002e-03 1.180e-02
1.462e-03 2.031e-03 1.183e-02
1.492e-03 2.061e-03 1.186e-02
1.522e-03 2.091e-03 1.189e-02
1.553e-03 2.122e-03 1.192e-02
1.584e-03 2.154e-03 1.195e-02
1.616e-03 2.186e-03 1.199e-02
1.649e-03 2.219e-03 1.202e-02
1.682e-03 2.252e-03 1.205e-02
1.716e-03 2.286e-03 1.209e-02
1.751e-03 2.321e-03 1.212e-02
1.786e-03 2.357e-03 1.216e-02
1.822e-03 2.393e-03 1.220e-02
1.859e-03 2.430e-03 1.224e-02
1.896e-03 2.468e-03 1.227e-02
1.935e-03 2.506e-03 1.231e-02
1.974e-03 2.545e-03 1.235e-02
2.014e-03 2.585e-03 1.240e-02
2.054e-03 2.626e-03 1.244e-02
2.096e-03 5.955e-04 1.248e-02
2.138e-03 6.381e-04 1.252e-02
2.181e-03 6.815e-04 1.257e-02
2.226e-03 7.258e-04 1.261e-02
2.270e-03 7.710e-04 1.266e-02
2.316e-03 8.172e-04 1.271e-02
2.363e-03 8.642e-04 1.275e-02
2.411e-03 9.122e-04 1.280e-02
2.460e-03 9.612e-04 1.285e-02
2.509e-03 1.011e-03 1.045e-02
2.560e-03 1.062e-03 1.050e-02
2.612e-03 1.114e-03 1.055e-02
2.664e-03 1.167e-03 1.061e-02
2.718e-03 1.221e-03 1.066e-02
2.773e-03 1.276e-03 1.072e-02
2.829e-03 1.333e-03 1.078e-02
2.886e-03 1.390e-03 1.084e-02
2.945e-03 1.449e-03 1.090e-02
3.004e-03 1.508e-03 1.096e-02
3.065e-03 1.569e-03 1.102e-02
3.127e-03 1.631e-03 1.108e-02
3.190e-03 1.695e-03 1.115e-02
3.254e-03 1.759e-03 1.121e-02
3.320e-03 1.825e-03 1.128e-02
3.387e-03 1.893e-03 1.135e-02
3.456e-03 1.961e-03 1.142e-02
3.525e-03 2.031e-03 1.149e-02
3.597e-03 2.103e-03 1.157e-02
3.669e-03 2.176e-03 1.164e-02
3.743e-03 2.250e-03 1.172e-02
3.819e-03 2.326e-03 1.179e-02
3.896e-03 2.403e-03 1.187e-02
3.975e-03 2.482e-03 1.195e-02
4.055e-03 2.563e-03 1.204e-02
4.137e-03 2.645e-03 1.212e-02
4.221e-03 6.605e-04 1.221e-02
4.306e-03 7.461e-04 1.229e-02
4.393e-03 8.334e-04 1.238e-02
4.482e-03 9.224e-04 1.247e-02
4.572e-03 1.013e-03 1.257e-02
4.665e-03 1.106e-03 1.266e-02
4.759e-03 1.200e-03 1.276e-02
4.855e-03 1.297e-03 1.286e-02
4.953e-03 1.395e-03 1.296e-02
5.053e-03 1.495e-03 1.061e-02
5.155e-03 1.598e-03 1.072e-02
5.259e-03 1.702e-03 1.082e-02
5.366e-03 1.808e-03 1.093e-02
5.474e-03 1.917e-03 1.104e-02
5.585e-03 2.028e-03 1.116e-02
5.697e-03 2.141e-03 1.127e-02
5.812e-03 2.256e-03 1.139e-02
5.930e-03 2.373e-03 1.151e-02
6.050e-03 2.493e-03 1.163e-02
6.172e-03 2.615e-03 1.176e-02
6.297e-03 6.764e-04 1.189e-02
6.424e-03 8.038e-04 1.202e-02
6.554e-03 9.338e-04 1.215e-02
6.686e-03 1.066e-03 1.228e-02
6.821e-03 1.202e-03 1.242e-02
6.959e-03 1.339e-03 1.256e-02
7.099e-03 1.480e-03 1.271e-02
7.243e-03 1.623e-03 1.285e-02
7.389e-03 1.770e-03 1.300e-02
7.538e-03 1.919e-03 1.071e-02
7.691e-03 2.071e-03 1.087e-02
7.846e-03 2.226e-03 1.103e-02
8.004e-03 2.385e-03 1.119e-02
8.166e-03 2.546e-03 1.136e-02
8.331e-03 2.711e-03 1.152e-02
8.499e-03 8.195e-04 1.170e-02
8.671e-03 9.911e-04 1.187e-02
8.846e-03 1.166e-03 1.205e-02
9.025e-03 1.345e-03 1.223e-02
9.207e-03 1.527e-03 1.242e-02
9.393e-03 1.712e-03 1.261e-02
9.583e-03 1.901e-03 1.280e-02
9.777e-03 2.095e-03 1.300e-02
9.974e-03 2.291e-03 1.320e-02
1.018e-02 2.492e-03 1.097e-02
1.038e-02 2.697e-03 1.118e-02
1.059e-02 8.510e-04 1.140e-02
1.080e-02 1.064e-03 1.161e-02
1.102e-02 1.282e-03 1.184e-02
1.125e-02 1.504e-03 1.206e-02
1.147e-02 1.730e-03 1.230e-02
1.170e-02 1.961e-03 1.253e-02
1.194e-02 2.196e-03 1.277e-02
1.218e-02 2.436e-03 1.302e-02
1.243e-02 2.681e-03 1.327e-02
1.268e-02 8.798e-04 1.110e-02
1.294e-02 1.135e-03 1.136e-02
1.320e-02 1.395e-03 1.162e-02
1.346e-02 1.660e-03 1.189e-02
1.374e-02 1.930e-03 1.217e-02
1.401e-02 2.206e-03 1.245e-02
1.430e-02 2.487e-03 1.274e-02
1.459e-02 7.265e-04 1.303e-02
1.488e-02 1.019e-03 1.333e-02
1.518e-02 1.318e-03 1.122e-02
1.549e-02 1.622e-03 1.153e-02
1.580e-02 1.932e-03 1.184e-02
1.612e-02 2.249e-03 1.217e-02
1.644e-02 2.571e-03 1.250e-02
1.678e-02 8.580e-04 1.284e-02
1.712e-02 1.194e-03 1.318e-02
1.746e-02 1.536e-03 1.353e-02
1.781e-02 1.886e-03 1.147e-02
1.817e-02 2.242e-03 1.184e-02
1.854e-02 2.605e-03 1.221e-02
1.892e-02 9.369e-04 1.259e-02
1.930e-02 1.315e-03 1.297e-02
1.969e-02 1.700e-03 1.337e-02
2.009e-02 2.093e-03 1.136e-02
2.049e-02 2.493e-03 1.177e-02
2.091e-02 8.679e-04 1.219e-02
2.133e-02 1.285e-03 1.262e-02
2.176e-02 1.710e-03 1.305e-02
2.220e-02 2.143e-03 1.350e-02
2.265e-02 2.585e-03 1.154e-02
2.310e-02 1.006e-03 1.201e-02
2.357e-02 1.465e-03 1.248e-02
2.405e-02 1.934e-03 1.296e-02
2.453e-02 2.412e-03 1.345e-02
2.503e-02 8.730e-04 1.155e-02
2.553e-02 1.370e-03 1.206e-02
2.605e-02 1.877e-03 1.257e-02
2.658e-02 2.393e-03 1.310e-02
2.711e-02 8.985e-04 1.364e-02
2.766e-02 1.436e-03 1.180e-02
2.822e-02 1.984e-03 1.236e-02
2.879e-02 2.542e-03 1.294e-02
2.937e-02 1.094e-03 1.352e-02
2.996e-02 1.675e-03 1.411e-02
3.057e-02 2.267e-03 1.234e-02
3.119e-02 2.870e-03 1.295e-02
3.182e-02 1.473e-03 1.359e-02
3.246e-02 2.101e-03 1.423e-02
3.312e-02 2.740e-03 1.250e-02
3.378e-02 1.383e-03 1.317e-02
3.447e-02 2.049e-03 1.386e-02
3.516e-02 2.726e-03 1.218e-02
3.587e-02 1.413e-03 1.289e-02
3.660e-02 2.118e-03 1.361e-02
3.734e-02 2.836e-03 1.435e-02
3.809e-02 1.568e-03 1.273e-02
3.886e-02 2.315e-03 1.350e-02
3.965e-02 1.079e-03 1.428e-02
4.045e-02 1.855e-03 1.271e-02
4.126e-02 2.646e-03 1.352e-02
4.210e-02 1.460e-03 1.435e-02
4.295e-02 2.282e-03 1.284e-02
4.382e-02 1.131e-03 1.370e-02
4.470e-02 1.986e-03 1.458e-02
4.560e-02 2.857e-03 1.312e-02
4.653e-02 1.760e-03 1.403e-02
4.747e-02 2.665e-03 1.496e-02
4.842e-02 1.606e-03 1.356e-02
4.940e-02 2.547e-03 1.453e-02
5.040e-02 1.528e-03 1.317e-02
5.142e-02 2.505e-03 1.418e-02
5.246e-02 1.527e-03 1.520e-02
5.352e-02 2.542e-03 1.391e-02
5.460e-02 1.607e-03 1.497e-02
5.570e-02 2.661e-03 1.373e-02
5.683e-02 1.770e-03 1.483e-02
5.797e-02 2.865e-03 1.363e-02
5.915e-02 2.019e-03 1.478e-02
6.034e-02 3.156e-03 1.363e-02
6.156e-02 2.357e-03 1.483e-02
6.280e-02 1.585e-03 1.373e-02
6.407e-02 2.788e-03 1.497e-02
6.537e-02 2.064e-03 1.392e-02
6.669e-02 1.368e-03 1.521e-02
6.803e-02 2.641e-03 1.422e-02
6.941e-02 1.996e-03 1.555e-02
7.081e-02 3.317e-03 1.462e-02
7.224e-02 2.726e-03 1.601e-02
7.370e-02 2.164e-03 1.513e-02
7.519e-02 1.631e-03 1.429e-02
7.671e-02 3.055e-03 1.576e-02
7.826e-02 2.580e-03 1.497e-02
7.984e-02 2.135e-03 1.649e-02
8.145e-02 1.721e-03 1.578e-02
8.310e-02 3.255e-03 1.509e-02
8.477e-02 2.902e-03 1.670e-02
8.649e-02 2.583e-03 1.608e-02
8.823e-02 2.296e-03 1.550e-02
9.002e-02 2.043e-03 1.495e-02
9.184e-02 1.825e-03 1.669e-02
9.369e-02 3.538e-03 1.621e-02
9.558e-02 3.386e-03 1.578e-02
9.751e-02 3.270e-03 1.538e-02
9.948e-02 3.191e-03 1.724e-02
1.015e-01 3.148e-03 1.692e-02
1.035e-01 3.143e-03 1.664e-02
1.056e-01 3.176e-03 1.640e-02
1.078e-01 3.248e-03 1.619e-02
1.099e-01 3.358e-03 1.824e-02
1.122e-01 3.509e-03 1.812e-02
1.144e-01 3.699e-03 1.805e-02
1.167e-01 2.074e-03 1.801e-02
1.191e-01 2.350e-03 1.803e-02
1.215e-01 2.669e-03 1.809e-02
1.240e-01 3.030e-03 1.819e-02
1.265e-01 3.435e-03 1.834e-02
1.290e-01 3.883e-03 1.854e-02
1.316e-01 2.543e-03 1.879e-02
1.343e-01 3.085e-03 1.909e-02
1.370e-01 3.672e-03 1.943e-02
1.398e-01 2.486e-03 1.983e-02
1.426e-01 3.170e-03 1.814e-02
1.455e-01 3.902e-03 1.865e-02
1.484e-01 2.876e-03 1.920e-02
1.514e-01 3.709e-03 1.981e-02
1.545e-01 2.795e-03 2.048e-02
1.576e-01 3.731e-03 1.909e-02
1.608e-01 2.932e-03 1.987e-02
1.640e-01 3.974e-03 2.070e-02
1.673e-01 3.292e-03 2.159e-02
1.707e-01 4.443e-03 2.046e-02
1.742e-01 3.881e-03 2.148e-02
1.777e-01 3.384e-03 2.048e-02
1.813e-01 2.951e-03 2.162e-02
1.849e-01 4.331e-03 2.282e-02
1.887e-01 4.024e-03 2.203e-02
1.925e-01 3.783e-03 2.336e-02
1.964e-01 3.610e-03 2.272e-02
2.003e-01 3.505e-03 2.215e-02
2.044e-01 3.470e-03 2.368e-02
2.085e-01 3.503e-03 2.327e-02
2.127e-01 3.607e-03 2.294e-02
2.170e-01 3.783e-03 2.468e-02
2.214e-01 4.030e-03 2.450e-02
2.259e-01 4.349e-03 2.441e-02
2.304e-01 4.741e-03 2.439e-02
2.351e-01 5.208e-03 2.447e-02
2.398e-01 4.079e-03 2.658e-02
2.447e-01 4.701e-03 2.682e-02
2.496e-01 5.399e-03 2.714e-02
2.547e-01 4.525e-03 2.756e-02
2.598e-01 5.383e-03 2.806e-02
2.651e-01 4.684e-03 2.674e-02
2.704e-01 5.705e-03 2.744e-02
2.759e-01 5.183e-03 2.822e-02
2.815e-01 4.756e-03 2.910e-02
2.871e-01 6.029e-03 3.007e-02
2.929e-01 5.784e-03 2.927e-02
2.989e-01 5.635e-03 3.045e-02
3.049e-01 5.582e-03 3.171e-02
3.111e-01 5.627e-03 3.124e-02
3.173e-01 5.769e-03 3.272e-02
3.238e-01 6.010e-03 3.247e-02
3.303e-01 6.350e-03 3.235e-02
3.370e-01 6.790e-03 3.414e-02
3.438e-01 5.793e-03 3.425e-02
3.507e-01 6.442e-03 3.448e-02
3.578e-01 7.192e-03 3.484e-02
3.650e-01 6.532e-03 3.532e-02
3.724e-01 7.495e-03 3.766e-02
3.799e-01 7.065e-03 3.839e-02
3.876e-01 6.755e-03 3.752e-02
3.954e-01 8.044e-03 3.851e-02
4.034e-01 7.968e-03 3.963e-02
4.116e-01 8.013e-03 4.088e-02
4.199e-01 8.181e-03 4.226e-02
4.284e-01 8.471e-03 4.212e-02
4.370e-01 8.885e-03 4.378e-02
4.459e-01 7.997e-03 4.393e-02
4.549e-01 8.667e-03 4.587e-02
4.641e-01 9.461e-03 4.634e-02
4.734e-01 8.983e-03 4.697e-02
4.830e-01 1.004e-02 4.775e-02
4.927e-01 9.835e-03 4.871e-02
5.027e-01 9.778e-03 4.983e-02
5.129e-01 9.866e-03 5.111e-02
5.232e-01 1.010e-02 5.256e-02
5.338e-01 1.048e-02 5.418e-02
5.446e-01 1.100e-02 5.597e-02
5.556e-01 1.167e-02 5.643e-02
5.668e-01 1.117e-02 5.857e-02
5.782e-01 1.214e-02 5.941e-02
5.899e-01 1.196e-02 6.191e-02
6.018e-01 1.323e-02 6.315e-02
6.140e-01 1.338e-02 6.458e-02
6.264e-01 1.369e-02 6.622e-02
6.391e-01 1.416e-02 6.807e-02
6.520e-01 1.480e-02 7.012e-02
6.651e-01 1.438e-02 7.100e-02
6.786e-01 1.537e-02 7.348e-02
6.923e-01 1.531e-02 7.618e-02
7.063e-01 1.543e-02 7.775e-02
7.205e-01 1.693e-02 7.957e-02
